;reference;sous_famille;pignon 1;pignon 2;long_pan3;long_pan4;long_pan5;long_pan6;cloison7;cloison8;cloison9;cloison10;kitchenette;lieu_rangement;Liste Expertise;Liste_Amenagement
2026;Bung00536;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon mi-Plein/mi-Fenetre 5.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0;;chilly mazarin ;;
2027;Bung00450;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Fenêtre convecteur/window 10.; 1.0; 1.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Panneau Passage 2.0;Pignon #01 5.0;CM;Echange canon de serrure(U) 0.5, Nettoyage intérieur cantonnement (M2) 0.1Echange prise : PC 16A + T (U) 0.25, , , ; pignon2: Pignon Fenêtre convecteur/window 10.,  cloison_pass10: Panneau Passage 2.0, 
2028;BUNG01040;Bungalow 9m;Pignon ferme 2.5;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0; 0.5;Porte exterieure 5.0;;;;
2029;Bung00571;Bungalow 9m;Pignon Fenêtre convecteur 7.0;Pignon Fenêtre convecteur 7.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Plein 2.0;;;;
2030;BUNG03561;Bungalow 6m;;;;;;;;;;; 4.0;;;
2031;BUNG00233;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon Fenêtre clim reversible 10.; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 0.5; 0.5;Pignon #01 5.0;;;
2032;BUNG03645;Bungalow 6m;;;;;;;;;;;;;;pignon1: Pignon Porte 2.5,  pignon2: Pignon Fenêtre convecteur 7.0,  longpan3: Long Pan 6m standard 2.5,  longpan4: Long Pan 6m standard 2.5,  passage5: 0,0,  passage6: 0,0,  cloison7: null,  kitchenette: null,  config_sanitaires: null,  config_vestiaires: null,  config_WC_HF: null
2033;BUNG03345;Bungalow 6m;;;;;;;;;;;;;;
2034;BUNG04160;Bungalow 6m;;;;;;;;;;;;;;
2035;bung01480;Bungalow 9m;Pignon Fenêtre 5.0;Pignon sanitaire/WC 10.;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0; 4.0;;;
2036;BUNG01131;Bungalow 9m;Pignon mi-Plein/mi-Fenetre 5.0;Pignon mi-Plein/mi-Fenetre 5.0;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5;1/2 long Pan Plein 2.5; 1.0; 1.0;Panneau Passage 2.0;Panneau Passage 2.0; 4.0;;;
2037;BUNG04087;Bungalow 6m;;;;;;;;;;;;;;
